"","Tissue","Fem_Count","Male_Count","Total","Avg_Female_Age","Avg_Male_Age"
"1","Amygdala",22,22,44,62.0454545454545,61.9545454545455
"2","Anterior",22,22,44,62.8636363636364,62.0454545454545
"3","Caudate",31,31,62,61.8064516129032,61.8709677419355
"4","Cerebellar",24,24,48,61.5416666666667,61.6666666666667
"5","Cerebellum",37,37,74,62.4864864864865,62.3243243243243
"6","Cortex",33,33,66,61.8181818181818,61.8484848484849
"7","Frontal_Cortex",27,27,54,61.5555555555556,61.6296296296296
"8","Hippocampus",24,24,48,62.7916666666667,62.7916666666667
"9","Hypothalamus",24,24,48,62.875,62.4583333333333
"10","Nucleus_Accumbens",29,29,58,61.9310344827586,61.6896551724138
"11","Putamen",24,24,48,61.5833333333333,61.6666666666667
"12","Spinal_Cord",21,21,42,60.6666666666667,62.1904761904762
"13","Substantia_Nigra",19,19,38,62,62.1578947368421
